WHO region,ITZ,COUNTRY/AREA/TERRITORY,COUNTRY_CODE,ORIGIN_SOURCE,ISO_YEAR,ISO_WEEK,DATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BVIC,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,17,2022-04-24,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,18,2022-05-01,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,19,2022-05-08,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,20,2022-05-15,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,21,2022-05-22,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,22,2022-05-29,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,23,2022-06-05,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,24,2022-06-12,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,25,2022-06-19,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,26,2022-06-26,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,27,2022-07-03,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,28,2022-07-10,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,29,2022-07-17,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,30,2022-07-24,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,31,2022-07-31,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,32,2022-08-07,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,33,2022-08-14,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,34,2022-08-21,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,35,2022-08-28,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,36,2022-09-04,1,1,,0,0,0,0,,,0,0,,,1,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,37,2022-09-11,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,38,2022-09-18,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,39,2022-09-25,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,40,2022-10-02,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,41,2022-10-09,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,42,2022-10-16,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,43,2022-10-23,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,44,2022-10-30,3,3,,0,0,0,0,,1,0,0,1,1,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,45,2022-11-06,29,29,,0,5,0,0,5,3,0,0,3,8,21,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,46,2022-11-13,21,21,,1,0,0,0,1,4,0,0,4,5,17,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,47,2022-11-20,24,24,,0,7,0,0,7,1,0,0,1,8,16,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,48,2022-11-27,116,116,,1,11,0,0,12,32,0,0,32,44,72,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,49,2022-12-04,41,41,,0,8,0,0,8,4,0,0,4,12,30,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,50,2022-12-11,50,50,,3,7,0,0,10,6,0,0,6,16,34,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,51,2022-12-18,45,45,,0,1,0,0,1,3,0,0,3,4,41,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2022,52,2022-12-25,34,34,,0,1,0,0,1,1,0,0,1,2,32,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,1,2023-01-01,42,42,,1,4,0,0,5,1,0,0,1,6,36,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,2,2023-01-08,49,49,,1,1,0,0,2,2,0,0,2,4,45,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,3,2023-01-15,13,13,,1,0,0,0,1,,0,0,,1,12,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,4,2023-01-22,17,17,,1,0,0,0,1,1,0,0,1,2,15,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,5,2023-01-29,8,8,,2,0,0,0,2,,0,0,,2,6,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,6,2023-02-05,15,15,,1,0,0,0,1,1,0,0,1,2,13,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,7,2023-02-12,16,16,,2,1,0,0,3,,0,0,,3,13,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,8,2023-02-19,12,12,,3,0,0,0,3,,0,0,,3,9,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,9,2023-02-26,14,14,,4,0,0,0,4,,0,0,,4,10,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,10,2023-03-05,17,17,,4,0,0,0,4,,0,0,,4,13,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,11,2023-03-12,16,16,,2,0,0,0,2,,0,0,,2,14,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,12,2023-03-19,30,30,,3,0,0,0,3,,0,0,,3,27,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,13,2023-03-26,12,12,,0,0,0,0,,,0,0,,,12,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,14,2023-04-02,38,38,,1,0,0,0,1,,0,0,,1,37,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,15,2023-04-09,15,15,,1,0,0,0,1,,0,0,,1,14,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,16,2023-04-16,19,19,,1,0,0,0,1,,0,0,,1,18,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,17,2023-04-23,18,18,,0,0,0,0,,,0,0,,,18,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,18,2023-04-30,4,4,,0,0,0,0,,,0,0,,,4,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,19,2023-05-07,5,5,,0,0,0,0,,,0,0,,,5,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,20,2023-05-14,1,1,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,21,2023-05-21,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,22,2023-05-28,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,23,2023-06-04,1,1,,0,0,0,0,,,0,0,,,1,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,24,2023-06-11,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,25,2023-06-18,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,26,2023-06-25,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,27,2023-07-02,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,28,2023-07-09,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,29,2023-07-16,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,30,2023-07-23,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,31,2023-07-30,0,0,,0,0,0,0,,,0,0,,,0,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,32,2023-08-06,2,2,,0,0,0,0,,,0,0,,,2,1
AFR,Northern Africa,Algeria,DZA,NOTDEFINED,2023,33,2023-08-13,0,0,,0,0,0,0,,,0,0,,,0,1
